date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZA12JTG2,ST8000DM002,8001563222016,0,445600.0,8.0,0.0,3905586932.0,56498.0,8.0,0.0,0.0,25.0,80267.0,4.0,22913.0,25.0,445600.0,0.0,0.0,0.0,56435.0,99934625376.0,518988571296.0
2023-01-10,ZA12JTG3,ST8000DM002,8001563222016,0,43214848.0,39.0,0.0,4175836494.0,56483.0,38.0,0.0,0.0,35.0,34494.0,25.0,30311.0,35.0,43214848.0,0.0,0.0,0.0,56403.0,102535266504.0,474613563596.0
2023-01-10,ZA12JTG4,ST8000DM002,8001563222016,0,167310864.0,8.0,0.0,4111746411.0,56487.0,8.0,0.0,0.0,31.0,25765.0,3.0,29623.0,31.0,167310864.0,0.0,0.0,0.0,56423.0,101124077960.0,462068599380.0
2023-01-10,ZA12JTG6,ST8000DM002,8001563222016,0,172425832.0,5.0,0.0,3150986162.0,55040.0,6.0,0.0,0.0,36.0,18004.0,3.0,67115.0,36.0,172425832.0,0.0,0.0,0.0,54974.0,103195421792.0,400035416112.0
2023-01-10,ZA12JTG7,ST8000DM002,8001563222016,0,156097608.0,24.0,0.0,2220370796.0,56712.0,23.0,0.0,0.0,31.0,50855.0,11.0,63232.0,31.0,156097608.0,8.0,8.0,0.0,56648.0,105900198984.0,407236195256.0
2023-01-10,ZA12JTG8,ST8000DM002,8001563222016,0,126886008.0,39.0,16.0,3183043974.0,56492.0,38.0,0.0,0.0,24.0,33610.0,24.0,27896.0,24.0,126886008.0,0.0,0.0,0.0,56412.0,103370737944.0,465205876052.0
2023-01-10,ZA12JTGA,ST8000DM002,8001563222016,0,87014016.0,8.0,0.0,2716403509.0,56486.0,8.0,0.0,0.0,30.0,14170.0,5.0,24228.0,30.0,87014016.0,0.0,0.0,0.0,56421.0,100262700840.0,482630448792.0
2023-01-10,ZA12JTGC,ST8000DM002,8001563222016,0,74793080.0,8.0,8.0,2716720802.0,56484.0,8.0,0.0,0.0,26.0,11292.0,6.0,21359.0,26.0,74793080.0,0.0,0.0,0.0,56420.0,102824034936.0,479115243080.0
2023-01-10,ZA12JTGG,ST8000DM002,8001563222016,0,74254248.0,8.0,0.0,3069141264.0,56497.0,8.0,0.0,0.0,27.0,21455.0,3.0,29320.0,27.0,74254248.0,0.0,0.0,0.0,56433.0,102897510512.0,490155072040.0
2023-01-10,ZA12JTGH,ST8000DM002,8001563222016,0,222115712.0,33.0,0.0,2776498191.0,56691.0,33.0,0.0,0.0,44.0,58935.0,13.0,60373.0,44.0,222115712.0,0.0,0.0,0.0,56621.0,105880006752.0,462561224280.0
