date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-04,ZJV3745Z,ST12000NM0007,12000138625024,0,74.0,90.0,100.0,87.0,68.0,100.0,63.0,100.0,37.0,74.0
2023-01-05,ZJV3745Z,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,87.0,68.0,100.0,62.0,100.0,38.0,78.0
2023-01-06,ZJV3745Z,ST12000NM0007,12000138625024,0,72.0,90.0,100.0,87.0,67.0,100.0,63.0,100.0,37.0,72.0
2023-01-07,ZJV3745Z,ST12000NM0007,12000138625024,0,80.0,90.0,100.0,87.0,67.0,100.0,63.0,100.0,37.0,80.0
2023-01-08,ZJV3745Z,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,87.0,67.0,100.0,64.0,100.0,36.0,78.0
2023-01-09,ZJV3745Z,ST12000NM0007,12000138625024,0,77.0,90.0,100.0,87.0,67.0,100.0,64.0,100.0,36.0,77.0
2023-01-10,ZJV3745Z,ST12000NM0007,12000138625024,0,76.0,90.0,100.0,87.0,67.0,100.0,63.0,100.0,37.0,76.0
2023-01-01,ZJV3778M,ST12000NM0007,12000138625024,0,67.0,91.0,100.0,84.0,68.0,100.0,68.0,100.0,32.0,67.0
2023-01-02,ZJV3778M,ST12000NM0007,12000138625024,0,84.0,91.0,100.0,84.0,68.0,100.0,67.0,100.0,33.0,84.0
2023-01-03,ZJV3778M,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,84.0,68.0,100.0,68.0,100.0,32.0,82.0
2023-01-04,ZJV3778M,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,84.0,68.0,100.0,67.0,100.0,33.0,82.0
2023-01-05,ZJV3778M,ST12000NM0007,12000138625024,0,66.0,91.0,100.0,84.0,68.0,100.0,67.0,100.0,33.0,66.0
2023-01-06,ZJV3778M,ST12000NM0007,12000138625024,0,81.0,91.0,100.0,84.0,68.0,100.0,68.0,100.0,32.0,81.0
2023-01-07,ZJV3778M,ST12000NM0007,12000138625024,0,79.0,91.0,100.0,84.0,67.0,100.0,68.0,100.0,32.0,79.0
2023-01-08,ZJV3778M,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,84.0,67.0,100.0,68.0,100.0,32.0,82.0
2023-01-09,ZJV3778M,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,84.0,67.0,100.0,67.0,100.0,33.0,82.0
2023-01-10,ZJV3778M,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,84.0,67.0,100.0,68.0,100.0,32.0,82.0
2023-01-01,ZJV378DM,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,88.0,68.0,100.0,65.0,100.0,35.0,80.0
2023-01-02,ZJV378DM,ST12000NM0007,12000138625024,0,74.0,89.0,100.0,88.0,68.0,100.0,65.0,100.0,35.0,74.0
2023-01-03,ZJV378DM,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,88.0,68.0,100.0,64.0,100.0,36.0,82.0
2023-01-04,ZJV378DM,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,88.0,68.0,100.0,65.0,100.0,35.0,81.0
2023-01-05,ZJV378DM,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,88.0,68.0,100.0,64.0,100.0,36.0,80.0
2023-01-06,ZJV378DM,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,88.0,67.0,100.0,65.0,100.0,35.0,81.0
2023-01-07,ZJV378DM,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,88.0,67.0,100.0,63.0,100.0,37.0,80.0
2023-01-08,ZJV378DM,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,88.0,67.0,100.0,64.0,100.0,36.0,82.0
2023-01-09,ZJV378DM,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,88.0,67.0,100.0,64.0,100.0,36.0,84.0
2023-01-10,ZJV378DM,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,88.0,67.0,100.0,64.0,100.0,36.0,83.0
2023-01-01,ZJV37SPX,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,81.0,68.0,100.0,67.0,100.0,33.0,79.0
2023-01-02,ZJV37SPX,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,81.0,68.0,100.0,69.0,100.0,31.0,84.0
2023-01-03,ZJV37SPX,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,81.0,68.0,100.0,66.0,100.0,34.0,82.0
2023-01-04,ZJV37SPX,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,81.0,68.0,100.0,67.0,100.0,33.0,80.0
2023-01-05,ZJV37SPX,ST12000NM0007,12000138625024,0,73.0,89.0,100.0,81.0,68.0,100.0,68.0,100.0,32.0,73.0
2023-01-06,ZJV37SPX,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,81.0,67.0,100.0,68.0,100.0,32.0,82.0
2023-01-07,ZJV37SPX,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,81.0,67.0,100.0,66.0,100.0,34.0,81.0
2023-01-08,ZJV37SPX,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,81.0,67.0,100.0,67.0,100.0,33.0,81.0
2023-01-09,ZJV37SPX,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,81.0,67.0,100.0,66.0,100.0,34.0,80.0
2023-01-10,ZJV37SPX,ST12000NM0007,12000138625024,0,75.0,89.0,100.0,82.0,67.0,100.0,67.0,100.0,33.0,75.0
2023-01-01,ZJV37VJX,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,68.0,100.0,64.0,100.0,36.0,83.0
2023-01-02,ZJV37VJX,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,68.0,100.0,63.0,100.0,37.0,83.0
2023-01-03,ZJV37VJX,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,87.0,68.0,100.0,63.0,100.0,37.0,84.0
2023-01-04,ZJV37VJX,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,68.0,100.0,64.0,100.0,36.0,83.0
