date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZJV2E11F,ST12000NM0007,12000138625024,0,17705480.0,5.0,0.0,89747973.0,11642.0,4.0,0.0,4295032833.0,24.0,233.0,508.0,24.0,17705480.0,0.0,0.0,0.0,11581.0,43338301648.0,132705259972.0
2023-01-10,ZJV2E1A6,ST12000NM0007,12000138625024,0,187023968.0,19.0,0.0,221446604.0,21468.0,19.0,0.0,0.0,28.0,388.0,1313.0,28.0,187023968.0,0.0,0.0,0.0,21295.0,63071851784.0,290387341682.0
2023-01-10,ZJV2E1EK,ST12000NM0007,12000138625024,0,217172336.0,3.0,0.0,4580990.0,32360.0,3.0,0.0,0.0,23.0,477.0,1485.0,23.0,217172336.0,0.0,0.0,0.0,32166.0,98268661720.0,293062200732.0
2023-01-10,ZJV2E1J4,ST12000NM0007,12000138625024,0,137986000.0,7.0,0.0,44537428.0,12026.0,7.0,0.0,0.0,36.0,255.0,524.0,36.0,137986000.0,0.0,0.0,0.0,11966.0,42414867184.0,136679177412.0
2023-01-10,ZJV2E1S4,ST12000NM0007,12000138625024,0,176235408.0,2.0,0.0,970255859.0,10652.0,3.0,0.0,0.0,30.0,193.0,507.0,30.0,176235408.0,0.0,0.0,0.0,10590.0,40779456080.0,104661082304.0
2023-01-10,ZJV2E3XZ,ST12000NM0007,12000138625024,0,71605936.0,11.0,0.0,329709912.0,14354.0,11.0,0.0,0.0,35.0,288.0,627.0,35.0,71605936.0,0.0,0.0,0.0,14275.0,47154256832.0,195105524424.0
2023-01-10,ZJV2E442,ST12000NM0007,12000138625024,0,77527576.0,6.0,0.0,173855169.0,11419.0,6.0,0.0,0.0,22.0,196.0,1314.0,22.0,77527576.0,0.0,0.0,0.0,11210.0,57134363392.0,156810674546.0
2023-01-10,ZJV2E454,ST12000NM0007,12000138625024,0,32568440.0,2.0,0.0,221634999.0,11923.0,2.0,0.0,0.0,27.0,174.0,2459.0,27.0,32568440.0,0.0,0.0,0.0,10871.0,44888654824.0,86736000212.0
2023-01-10,ZJV2E4CH,ST12000NM0007,12000138625024,0,205879088.0,7.0,0.0,319892620.0,14157.0,7.0,0.0,0.0,25.0,278.0,611.0,25.0,205879088.0,0.0,0.0,0.0,14085.0,46045442600.0,206114178189.0
2023-01-10,ZJV2E4GS,ST12000NM0007,12000138625024,0,203369856.0,17.0,0.0,683281645.0,20909.0,17.0,0.0,0.0,37.0,273.0,1528.0,37.0,203369856.0,0.0,0.0,0.0,20570.0,78966619024.0,242770675554.0
